hek293t	hct116	mcf7	c42b	pct_peaks
OXGR1	NA	NA	NA	NA	NA
UCMA	NA	NA	NA	NA	NA
BEND7	1	1	1	0	0.75
ATP5C1	0	0	1	1	0.5
PRPF18	0	0	1	0	0.25
TAF3	1	0	0	0	0.25
VSTM4	1	NA	NA	NA	1
VDAC2	1	1	1	1	1
SOHLH1	NA	NA	NA	NA	NA
COMTD1	1	1	1	1	1
SLC18A2	NA	NA	NA	NA	NA
PDZD8	1	1	1	1	1
ZNF503	0	0	0	0	0
FAM175B	1	1	1	1	1
QSOX2	1	1	0	1	0.75
FAM204A	1	1	1	1	1
NSD1	1	1	1	1	1
PRDX3	1	1	1	1	1
ENOX2	1	1	1	1	1
GHITM	1	1	1	1	1
CLEC1B	NA	NA	NA	NA	NA
SNAPC4	1	0	1	1	0.75
TMEM52B	NA	NA	NA	NA	NA
PMPCA	1	1	1	1	1
SDCCAG3	1	1	1	1	1
FRMD7	NA	NA	NA	NA	NA
AK8	NA	0	NA	NA	0
C9orf9	1	1	1	1	1
TSC1	1	0	0	0	0.25
GFI1B	NA	NA	NA	NA	NA
HPRT1	1	1	1	1	1
BORCS5	1	0	1	1	0.75
FAM69B	1	1	0	1	0.75
ZMYND19	1	1	1	1	1
STOX1	1	1	1	NA	1
RET	NA	0	1	NA	0.5
DDX21	1	1	1	1	1
BMS1	1	1	1	1	1
STK32C	1	1	1	1	1
KIAA1462	0	0	NA	NA	0
OR4K2	NA	NA	NA	NA	NA
FUNDC2	1	0	1	0	0.5
TMEM55B	1	1	1	1	1
METTL17	1	1	1	1	1
SLC39A2	NA	NA	NA	NA	NA
NDRG2	1	1	1	1	1
RNASE7	NA	NA	NA	NA	NA
ARHGEF40	1	1	NA	1	1
NSMF	1	1	1	1	1
ZNF219	1	1	1	1	1
C12orf50	NA	NA	NA	NA	NA
CASP7	1	1	0	0	0.5
PPP1R36	NA	NA	NA	NA	NA
BTNL9	0	0	0	0	0
CCDC186	0	0	0	0	0
VWA2	NA	NA	NA	NA	NA
METTL3	1	1	1	1	1
SALL2	0	NA	0	0	0
PRAP1	NA	NA	NA	0	0
TRUB1	1	1	1	1	1
ERICH6B	NA	NA	NA	NA	NA
CYP2C19	NA	NA	NA	0	0
ZFYVE1	0	0	0	0	0
C10orf82	0	NA	0	NA	0
HSPA12A	1	1	1	1	1
FRAT1	1	NA	1	1	1
UBTD1	1	0	1	0	0.5
ANKRD2	NA	NA	NA	NA	NA
E2F7	1	1	1	1	1
ARHGAP42	1	1	1	1	1
ISCA2	0	1	0	1	0.5
OTOGL	NA	NA	NA	NA	NA
GYLTL1B	1	1	0	1	0.75
PACSIN3	1	1	1	1	1
TTC7B	1	1	NA	1	1
SLC39A13	1	1	1	1	1
PSMC3	1	1	0	1	0.75
RAPSN	NA	NA	NA	NA	NA
AGBL2	NA	NA	NA	NA	NA
TC2N	0	1	1	1	0.75
CPSF2	1	1	1	1	1
SMCO2	NA	NA	NA	NA	NA
MOAP1	1	1	1	1	1
IFI27L1	0	0	0	0	0
IFI27	NA	0	0	NA	0
SERPINA12	NA	NA	NA	NA	NA
CLMN	0	0	0	1	0.25
PDZRN4	NA	NA	NA	NA	NA
SLC6A5	NA	NA	NA	NA	NA
CCDC38	NA	NA	NA	NA	NA
NELL1	NA	NA	NA	NA	NA
PTER	1	1	1	1	1
C1QL3	NA	NA	NA	NA	NA
CACNB2	1	NA	NA	0	0.5
HACD1	1	1	0	0	0.5
ARL5B	1	1	1	1	1
SMCO4	0	1	0	1	0.5
CEP295	1	1	1	1	1
KCNC2	NA	NA	NA	NA	NA
TAF1D	1	1	1	1	1
ABTB2	1	0	1	0	0.5
R3HCC1L	1	1	1	1	1
AMOTL1	1	1	1	NA	1
HTRA1	1	NA	1	NA	1
LIPC	NA	NA	NA	NA	NA
CEP57	0	1	0	0	0.25
TCP11L2	0	1	1	NA	0.666666666666667
PASD1	NA	NA	NA	NA	NA
SPRED1	1	1	1	1	1
TMCO5A	NA	NA	NA	NA	NA
GPR176	0	NA	1	0	0.333333333333333
JAM3	1	NA	NA	0	0.5
IL25	NA	NA	NA	NA	NA
CMTM5	NA	NA	NA	NA	NA
GLB1L3	1	NA	NA	NA	1
ADAMTS15	NA	NA	NA	NA	NA
SVOP	NA	NA	NA	NA	NA
SPATA19	NA	NA	NA	NA	NA
GPT2	1	1	1	1	1
AMN	NA	0	NA	NA	0
RAB8B	0	0	0	0	0
IKBIP	1	1	1	0	0.75
RPUSD2	1	1	1	1	1
HIF1AN	1	1	1	0	0.75
NDUFB8	1	1	1	0	0.75
ZFYVE19	1	1	1	1	1
PPP1R14D	NA	NA	NA	NA	NA
SPINT1	NA	1	1	1	1
FBN1	0	NA	NA	NA	0
AVPR1A	NA	NA	NA	NA	NA
C16orf78	NA	NA	NA	NA	NA
DEPDC4	0	0	0	0	0
LRTM2	NA	NA	NA	NA	NA
OPN1MW2	NA	NA	NA	NA	NA
BRD7	0	0	0	0	0
CKB	1	1	1	1	1
TRMT61A	0	1	0	1	0.5
BTRC	1	1	1	1	1
POLL	1	1	1	1	1
BAG5	1	1	1	1	1
DPCD	0	1	1	0	0.5
LARP6	1	1	1	1	1
API5	1	1	1	1	1
ASPG	NA	NA	NA	NA	NA
ZNF319	1	1	1	1	1
HPS6	1	1	1	1	1
SENP8	0	0	0	0	0
NOLC1	1	1	1	1	1
ALKBH3	1	0	1	1	0.75
COPS2	1	1	1	1	1
GABRB3	1	NA	NA	1	1
SPIC	NA	NA	NA	0	0
TBATA	NA	NA	NA	NA	NA
SGPL1	1	1	1	1	1
FRS2	1	1	1	1	1
CCT2	1	1	1	1	1
PCBD1	1	1	1	1	1
ARIH1	0	0	0	0	0
C16orf71	NA	NA	NA	0	0
CLMP	NA	0	NA	NA	0
SCN3B	0	NA	NA	NA	0
COX11	1	1	1	1	1
ZNF202	1	1	1	1	1
FAM227B	1	1	1	0	0.75
STXBP4	0	0	0	0	0
CYYR1	NA	NA	NA	NA	NA
CUL5	1	1	1	1	1
MYRFL	NA	NA	NA	NA	NA
WBP1L	1	0	0	0	0.25
BORCS7	1	1	1	1	1
C2	NA	0	NA	1	0.5
PLEKHF1	1	1	NA	1	1
TMEM100	0	NA	NA	NA	0
ANAPC16	0	0	0	0	0
SMPD1	1	1	0	1	0.75
APBB1	1	0	NA	0	0.333333333333333
SYNPO2L	NA	NA	NA	NA	NA
NUDT13	0	NA	0	0	0
C11orf65	1	NA	NA	1	1
TRIM44	1	1	1	1	1
CCDC182	NA	NA	NA	NA	NA
ILK	0	1	0	1	0.5
TAF10	1	1	0	1	0.75
TPP1	0	0	0	0	0
DCHS1	NA	NA	NA	0	0
NETO1	NA	NA	NA	0	0
MSS51	0	NA	NA	NA	0
CYB5A	0	0	0	0	0
USP54	1	1	0	0	0.5
RAG1	NA	NA	NA	NA	NA
POTED	NA	NA	NA	NA	NA
C11orf74	0	0	0	0	0
WDR88	NA	NA	NA	0	0
OR10A5	NA	NA	NA	NA	NA
OR2D2	NA	NA	NA	NA	NA
ATP9B	1	1	1	1	1
PPFIBP2	1	0	1	1	0.75
MOGAT2	NA	NA	NA	NA	NA
CYB5R2	NA	1	NA	0	0.5
SERPINB7	NA	NA	NA	NA	NA
KIAA0355	1	1	0	1	0.75
SERPINB8	NA	1	1	NA	1
TUB	1	NA	NA	1	1
RIC3	NA	NA	NA	1	1
LMO1	NA	NA	NA	NA	NA
IDH3A	1	1	1	1	1
WDR72	NA	0	NA	0	0
CRABP1	NA	NA	0	NA	0
PLD4	NA	NA	NA	NA	NA
ZMAT1	NA	NA	0	NA	0
XRRA1	1	1	1	0	0.75
TRIM66	0	0	0	0	0
RNF169	1	1	1	1	1
RPL27A	1	1	1	1	1
ST5	1	1	NA	0	0.666666666666667
CDYL2	NA	NA	0	0	0
TMEM130	NA	NA	NA	NA	NA
PRTG	1	NA	1	1	1
CENPN	1	1	1	1	1
AKIP1	1	1	1	1	1
ATMIN	1	1	1	1	1
C16orf46	1	NA	1	1	1
TMEM41B	1	1	1	1	1
PKD1L2	NA	1	NA	NA	1
LEO1	1	1	0	0	0.5
ZNF143	1	1	1	1	1
TMX3	1	1	1	1	1
MFAP4	NA	NA	NA	NA	NA
WEE1	1	1	1	1	1
MAPK7	1	0	1	0	0.5
PRKCB	0	NA	NA	NA	0
RP11-382A20.3	1	NA	1	1	1
NDST2	1	1	1	1	1
MCM7	1	1	1	1	1
CLEC3A	NA	NA	NA	NA	NA
CCDC68	NA	1	0	NA	0.5
CLEC4E	NA	NA	NA	NA	NA
ZNF3	1	1	1	1	1
CLEC4D	NA	NA	NA	NA	NA
ZSCAN21	0	0	0	1	0.25
RIMKLB	1	NA	1	1	1
A2ML1	NA	NA	NA	NA	NA
BEAN1	NA	NA	NA	NA	NA
TK2	1	1	1	1	1
TMED3	1	1	1	1	1
SLC38A8	NA	NA	NA	NA	NA
SEC11C	1	1	1	1	1
CPLX4	NA	NA	NA	NA	NA
GALR1	NA	NA	NA	NA	NA
TMEM135	0	0	0	0	0
IQCD	0	0	0	0	0
NDEL1	1	1	1	1	1
CENPV	1	1	1	NA	1
CDH16	NA	NA	NA	NA	NA
RRAD	NA	NA	NA	NA	NA
FAM96B	1	1	1	1	1
CFAP52	NA	NA	NA	NA	NA
HSP90B1	1	1	1	1	1
MC4R	NA	NA	0	NA	0
BLCAP	0	1	1	1	0.75
SERPINB12	NA	NA	NA	NA	NA
CHRFAM7A	0	0	NA	NA	0
ATF7IP2	1	1	1	NA	1
MMP10	NA	NA	NA	NA	NA
TVP23A	NA	NA	NA	NA	NA
NGFRAP1	1	1	1	1	1
TMPRSS5	NA	NA	NA	NA	NA
COG1	1	1	1	1	1
PLEKHA7	0	1	1	1	0.75
ZNF606	1	NA	1	1	1
ZCCHC18	1	NA	NA	NA	1
B2M	1	1	1	1	1
ZNF592	1	1	1	1	1
CASC4	1	1	1	1	1
HTR3A	NA	NA	NA	0	0
NNMT	NA	NA	NA	0	0
ACSM1	NA	NA	NA	NA	NA
AP1G1	1	1	0	1	0.75
SLFN5	0	0	0	0	0
CATSPER2	0	0	0	0	0
ZNF667-AS1	NA	NA	NA	0	0
C16orf45	0	0	0	NA	0
KIAA0430	0	1	1	0	0.5
SAAL1	1	1	1	1	1
YPEL4	NA	NA	NA	NA	NA
PPIB	1	1	1	1	1
LDHC	1	NA	NA	NA	1
FAM96A	1	1	0	1	0.75
LDHAL6A	NA	NA	NA	NA	NA
FAM111A	NA	1	1	1	1
KIAA0101	1	1	0	0	0.5
KIF7	1	NA	NA	0	0.5
LDHD	NA	0	0	1	0.333333333333333
PLIN1	NA	NA	NA	NA	NA
PEX11A	1	1	0	0	0.5
TMEM170A	1	1	1	1	1
MESP1	1	1	NA	1	1
ANPEP	NA	NA	NA	NA	NA
SCNN1G	NA	NA	NA	NA	NA
RBPMS2	1	1	0	1	0.75
NAV2	0	NA	0	NA	0
ANKDD1A	1	1	0	1	0.75
GLYATL1	NA	NA	NA	1	1
C18orf54	0	0	0	0	0
DCTN5	1	1	1	1	1
TERF2IP	0	1	1	1	0.75
PLK1	0	1	0	0	0.25
CLPX	1	1	1	1	1
GPR182	NA	NA	NA	NA	NA
ZBTB39	1	1	1	1	1
CACNG2	NA	NA	NA	NA	NA
TAC3	NA	NA	NA	NA	NA
MYO1A	NA	NA	NA	NA	NA
CHP2	NA	NA	0	0	0
NEMP1	1	1	1	1	1
OR4D6	NA	NA	NA	NA	NA
NAB2	0	1	1	0	0.5
VPS39	1	1	1	1	1
STAT6	0	1	1	NA	0.666666666666667
PATL1	0	0	0	0	0
XRCC6BP1	1	1	0	0	0.5
ELFN2	NA	1	NA	NA	1
STX3	0	1	0	1	0.5
MRPL16	0	0	0	0	0
PIP4K2C	0	0	0	0	0
MTMR10	1	1	1	1	1
YWHAB	1	1	1	1	1
MIR202HG	NA	NA	NA	NA	NA
C15orf48	0	NA	0	NA	0
SCG5	NA	NA	NA	0	0
GREM1	NA	NA	NA	NA	NA
NYAP1	NA	0	NA	NA	0
TSC22D4	0	1	1	1	0.75
MS4A6E	NA	NA	NA	NA	NA
MS4A7	NA	NA	NA	NA	NA
MS4A14	NA	NA	NA	NA	NA
MS4A5	NA	NA	NA	NA	NA
DIS3L	1	1	1	1	1
CCNDBP1	1	1	1	1	1
EPB42	NA	NA	NA	NA	NA
TGM6	NA	NA	NA	NA	NA
SMAD3	1	1	1	1	1
MS4A8	NA	NA	NA	NA	NA
CCDC178	NA	NA	NA	NA	NA
MS4A15	NA	NA	NA	NA	NA
MAP1A	0	NA	NA	NA	0
RCCD1	1	1	1	1	1
AKTIP	1	1	1	1	1
MAPRE2	1	1	NA	0	0.666666666666667
EVA1C	NA	1	NA	0	0.5
MARS	0	0	0	0	0
MBD6	0	0	0	1	0.25
CNPY4	0	0	1	0	0.25
PDIA3	1	1	1	1	1
NUDT21	0	0	0	0	0
NAT16	NA	NA	NA	NA	NA
C15orf43	NA	NA	NA	NA	NA
NKX3-1	1	1	1	1	1
SGSM1	NA	1	NA	NA	1
DUSP18	1	1	1	0	0.75
TEF	0	0	0	0	0
MEI1	NA	NA	NA	NA	NA
B4GALNT2	0	NA	0	0	0
PBX3	0	0	1	1	0.5
GNGT2	NA	NA	NA	NA	NA
PHB	0	1	0	0	0.25
SNRPD1	1	1	1	1	1
TTC16	NA	NA	NA	NA	NA
SUN5	NA	NA	NA	NA	NA
SAMD14	NA	NA	NA	NA	NA
PIP5KL1	NA	1	0	NA	0.5
BPIFB6	NA	NA	NA	NA	NA
TMEM92	NA	1	NA	0	0.5
FAM102A	1	1	1	1	1
ACSF2	0	1	1	0	0.5
GOLGA2	0	0	0	0	0
TRUB2	0	0	0	0	0
COQ4	1	1	1	1	1
SLC27A4	1	1	1	1	1
LINC00483	NA	NA	0	0	0
URM1	1	1	1	1	1
CERCAM	1	1	0	NA	0.666666666666667
DOLPP1	0	0	0	0	0
CCDC103	NA	NA	NA	NA	NA
ENDOG	1	1	1	1	1
TBC1D21	NA	NA	NA	NA	NA
PRRX2	NA	1	NA	NA	1
UGT1A6	NA	NA	0	NA	0
C15orf39	1	1	1	1	1
ISLR2	NA	NA	NA	NA	NA
SP2	1	1	1	1	1
PRR15L	NA	NA	1	0	0.5
COQ7	1	1	1	0	0.75
GPRC5B	0	1	NA	0	0.333333333333333
CRK	1	1	1	1	1
C16orf92	NA	NA	NA	NA	NA
GOLGA6C	NA	NA	NA	NA	NA
FBXO22	1	1	1	1	1
TBC1D2B	1	1	1	1	1
NOD2	NA	1	NA	NA	1
SNX20	NA	NA	NA	NA	NA
LOXHD1	NA	NA	NA	NA	NA
KATNAL2	0	NA	0	0	0
HDHD2	1	1	1	1	1
ZNF91	1	1	1	1	1
IGF2	NA	1	NA	NA	1
RNF214	0	0	0	0	0
CDK12	1	1	1	1	1
DPEP2	NA	NA	NA	NA	NA
DUS2	1	1	1	1	1
POP5	0	0	0	0	0
ENGASE	1	1	1	1	1
RBFOX3	NA	NA	NA	NA	NA
ATP5L	1	1	1	1	1
CD3D	NA	NA	NA	NA	NA
TBC1D16	1	1	1	1	1
ENTHD2	0	0	0	0	0
MYO5B	1	1	1	1	1
ART5	1	1	NA	NA	1
ACAA2	1	1	1	0	0.75
STIM1	0	0	0	0	0
RRM1	1	1	1	1	1
OR51E2	NA	NA	NA	NA	NA
TRIM68	1	1	NA	1	1
MMP26	NA	NA	NA	NA	NA
AC104389.28	NA	0	NA	NA	0
OR51I1	NA	0	NA	NA	0
OR51Q1	NA	NA	NA	NA	NA
FN3K	NA	1	1	1	1
PRRT2	0	0	1	NA	0.333333333333333
ZNF23	1	1	1	1	1
IRGQ	0	0	1	0	0.25
ZNF226	0	0	0	0	0
ZNF180	1	1	1	1	1
PPP2R3B	1	1	1	1	1
ZNF668	1	1	1	1	1
ZNF646	0	0	0	0	0
VKORC1	0	0	0	0	0
GNG8	NA	NA	NA	NA	NA
LPO	NA	NA	NA	NA	NA
CA4	NA	NA	0	NA	0
SMG8	1	0	0	0	0.25
LINC00905	NA	NA	NA	NA	NA
TPM4	1	1	1	1	1
RAB8A	1	1	0	1	0.75
GPX4	1	1	1	1	1
MIDN	0	1	1	1	0.75
JSRP1	NA	NA	NA	NA	NA
FAM129C	NA	NA	NA	NA	NA
KLHL26	1	0	0	0	0.25
GATAD2A	1	1	1	0	0.75
MVD	1	1	0	1	0.75
CDT1	1	1	1	0	0.75
TRAPPC2L	1	0	0	0	0.25
ANKRD11	1	1	1	1	1
SPATA33	0	0	0	0	0
SGK494	0	0	0	0	0
PROCA1	1	NA	1	NA	1
RPL13	1	1	1	1	1
ZNF641	1	0	0	1	0.5
LALBA	NA	NA	NA	NA	NA
CACNB3	0	0	0	1	0.25
DHRS13	1	1	1	1	1
TP53I13	1	1	1	1	1
KMT2D	1	1	1	1	1
CORO6	0	1	NA	NA	0.5
RHEBL1	NA	0	NA	NA	0
TUBA1A	0	0	0	NA	0
TUBA1C	1	1	1	1	1
ZNF610	NA	NA	0	1	0.5
ZNF528	NA	NA	0	0	0
ZNF701	0	0	0	0	0
SERTAD3	0	0	0	1	0.25
NCKAP5L	1	1	1	NA	1
RAB4B	1	1	0	0	0.5
AQP2	NA	NA	NA	NA	NA
GPD1	NA	NA	NA	NA	NA
PROSER3	1	1	0	0	0.5
CYP2S1	0	0	NA	NA	0
AXL	NA	1	NA	NA	1
NFKBID	1	1	0	1	0.75
TMC4	NA	1	0	0	0.333333333333333
ANKRD33	NA	NA	NA	NA	NA
LAIR1	NA	NA	NA	NA	NA
TTYH1	NA	NA	NA	NA	NA
LENG8	0	0	0	1	0.25
CDC42EP5	NA	NA	0	NA	0
LAIR2	NA	NA	NA	NA	NA
TMEM145	0	0	NA	NA	0
ZNF526	0	1	1	0	0.5
TRAPPC9	1	1	1	1	1
KIR3DL1	NA	NA	NA	NA	NA
NLRP7	NA	NA	NA	NA	NA
ZNF146	0	0	0	1	0.25
ZNF283	0	0	1	0	0.25
PPP1R14A	0	NA	NA	NA	0
SPINT2	1	1	1	1	1
C19orf33	NA	1	0	0	0.333333333333333
YIF1B	0	0	0	0	0
DNAAF3	0	0	0	NA	0
PSCA	NA	NA	1	1	1
ATCAY	NA	NA	NA	NA	NA
LY6D	NA	NA	1	NA	1
DAPK3	1	1	0	0	0.5
EEF2	1	1	0	1	0.75
TMIGD2	NA	NA	NA	NA	NA
CHAF1A	1	1	1	1	1
UBXN6	0	1	0	1	0.5
CTB-50L17.10	1	1	0	1	0.75
PLIN4	NA	NA	NA	NA	NA
SEMA6B	0	0	0	NA	0
ZNF444	0	0	0	0	0
NXN	0	0	1	0	0.25
FAM57A	1	1	1	1	1
GLOD4	1	1	1	1	1
MFSD3	1	1	1	1	1
GPT	NA	NA	0	1	0.5
KIFC2	0	1	0	0	0.25
SLC43A2	1	1	1	1	1
RILP	1	1	NA	1	1
SERPINF2	NA	0	NA	NA	0
WDR81	1	1	1	1	1
SRR	1	1	1	1	1
TSR1	1	1	1	1	1
TRPV3	NA	NA	1	1	1
HSD11B1L	1	0	0	1	0.5
CYB5D2	1	1	1	1	1
GGT6	NA	NA	NA	NA	NA
KLK1	NA	0	NA	0	0
KLK4	NA	NA	NA	1	1
KLK2	NA	NA	NA	0	0
KLK5	NA	NA	NA	NA	NA
KLK6	NA	0	1	NA	0.5
KLK11	NA	NA	0	NA	0
KLK13	NA	0	NA	NA	0
ZNF83	0	0	1	1	0.5
KRT80	NA	0	1	1	0.666666666666667
KRT1	NA	NA	NA	NA	NA
ACER1	NA	NA	NA	NA	NA
OTUB1	1	1	1	1	1
RCOR2	0	0	NA	NA	0
ANGPTL4	NA	0	0	NA	0
CD320	1	1	1	1	1
SPRYD3	1	1	1	1	1
IGFBP6	NA	0	NA	NA	0
SOAT2	NA	NA	NA	NA	NA
ZNF558	NA	1	1	1	1
CABP2	NA	NA	NA	NA	NA
NDUFV1	1	1	1	1	1
CDK2AP2	0	1	1	1	0.75
NUDT8	1	1	0	1	0.75
TBX10	NA	NA	NA	0	0
PRDX2	1	1	1	1	1
OR8J3	NA	NA	NA	NA	NA
OR5I1	NA	NA	NA	NA	NA
ZNF232	1	1	1	1	1
MIS12	1	1	1	1	1
CD300C	NA	NA	NA	NA	NA
CD300A	NA	NA	NA	NA	NA
TEKT1	NA	NA	NA	NA	NA
HID1	1	1	1	1	1
ICT1	1	1	1	1	1
ATP5H	1	0	0	0	0.25
TMEM88	NA	0	0	0	0
EVPL	NA	1	1	1	1
SRP68	1	1	1	1	1
MGAT5B	1	1	NA	NA	1
TMC8	NA	1	NA	NA	1
TK1	1	1	0	0	0.5
TMEM68	1	1	1	1	1
CYP7A1	NA	NA	NA	NA	NA
RP11-25K19.1	NA	NA	NA	NA	NA
GSDMA	NA	NA	NA	NA	NA
KRT24	NA	NA	NA	NA	NA
TMEM99	0	0	0	0	0
GHDC	0	0	0	0	0
FAM234A	1	1	1	1	1
SOST	NA	NA	NA	NA	NA
ZNF598	1	1	1	1	1
RAB26	0	1	1	1	0.75
MLST8	1	1	1	1	1
E4F1	1	1	1	1	1
DNASE1L2	NA	NA	1	0	0.5
ECI1	1	1	1	1	1
CASKIN1	0	0	0	NA	0
ABCA3	1	1	1	1	1
KCTD5	1	1	1	1	1
SRRM2	1	1	1	1	1
ZNF597	1	0	0	0	0.25
NLRC3	NA	NA	NA	NA	NA
SDHAF2	0	0	0	0	0
DDB1	1	1	1	1	1
VPS37C	0	0	0	0	0
VWCE	NA	0	NA	NA	0
RAB3IL1	0	1	0	1	0.5
BEST1	NA	NA	0	0	0
FTH1	0	1	0	1	0.5
BSCL2	0	0	0	0	0
POLR2G	0	0	0	0	0
SLC3A2	1	1	0	0	0.5
HRASLS5	NA	NA	NA	NA	NA
C11orf84	1	1	0	1	0.75
ATG16L2	1	1	1	1	1
C2CD3	0	1	0	0	0.25
TRANK1	NA	NA	1	NA	1
TTC21A	NA	0	NA	NA	0
RPSA	1	1	1	1	1
ENTPD3	NA	NA	NA	NA	NA
CTNNB1	1	1	1	1	1
ULK4	1	0	0	0	0.25
FADD	1	1	1	1	1
LTBP3	1	1	1	1	1
NAALADL1	NA	NA	NA	NA	NA
SAC3D1	1	1	1	1	1
BATF2	NA	NA	NA	NA	NA
SLC22A11	NA	NA	NA	NA	NA
SF1	1	1	1	1	1
MAP4K2	0	1	0	1	0.5
C11orf85	NA	NA	NA	1	1
CCDC88B	NA	1	NA	1	1
SCARA3	0	1	1	1	0.75
PBK	1	1	1	1	1
SCARA5	NA	NA	NA	NA	NA
PNOC	NA	NA	NA	NA	NA
COPS6	1	1	1	1	1
PAFAH1B2	1	1	1	1	1
ANKS3	1	1	1	1	1
NUDT16L1	1	1	1	1	1
KIAA1586	1	1	1	1	1
RAB4A	0	0	1	0	0.25
OR1F1	NA	NA	NA	NA	NA
OR2B2	NA	NA	NA	NA	NA
KCNJ4	1	NA	NA	NA	1
SETD5	1	1	0	1	0.75
VASN	NA	1	1	1	1
FAM83B	1	1	1	NA	1
HIST3H3	NA	NA	NA	NA	NA
THAP9	1	1	0	1	0.75
OR2C1	NA	NA	NA	NA	NA
RNF187	1	1	1	1	1
HOOK3	0	0	0	0	0
MAPK1IP1L	1	1	1	1	1
DDIT4	0	0	1	1	0.5
RBPJ	1	1	1	1	1
LMBRD1	0	0	0	0	0
ZCCHC4	0	0	0	0	0
PTGDR	NA	NA	NA	NA	NA
TTC39C	1	1	1	1	1
GLYCTK	1	1	NA	0	0.666666666666667
GNG4	1	1	0	1	0.75
UBTD2	1	1	1	1	1
POLR2J3	1	0	1	0	0.5
NKIRAS2	1	1	0	0	0.5
DNAJC7	1	1	1	1	1
KCNV2	NA	NA	NA	NA	NA
IRF2BP2	1	1	1	1	1
PTF1A	NA	NA	NA	NA	NA
NT5DC2	1	1	0	1	0.75
FOXI1	NA	NA	0	NA	0
SMIM4	1	1	1	1	1
COA6	1	1	1	0	0.75
KIF5C	0	0	0	0	0
MGAT2	1	1	1	1	1
BMI1	1	1	1	1	1
THAP11	1	1	1	1	1
MMADHC	0	0	0	0	0
PDHB	1	1	1	1	1
PXK	1	1	1	1	1
HIST1H1E	0	1	1	1	0.75
PCMTD1	1	1	1	1	1
KCTD6	1	1	1	1	1
MPLKIP	1	1	1	1	1
ACOX2	NA	1	NA	NA	1
FAM107A	NA	NA	NA	NA	NA
IRF2	0	1	1	1	0.75
MOBP	NA	NA	NA	NA	NA
CX3CR1	NA	NA	NA	NA	NA
C8orf22	NA	NA	NA	NA	NA
XIRP1	NA	NA	NA	NA	NA
INSM2	NA	NA	NA	NA	NA
DEGS2	NA	NA	1	NA	1
SCN11A	NA	NA	NA	NA	NA
LINC00917	NA	NA	NA	NA	NA
ARF4	1	1	1	1	1
SEPT2	1	1	1	1	1
FILIP1L	NA	NA	0	NA	0
MFSD2A	1	1	NA	1	1
DTYMK	1	1	1	1	1
TAP1	1	1	1	0	0.75
ING5	1	1	1	1	1
ATG4B	1	1	1	1	1
BDKRB2	NA	NA	0	NA	0
MLKL	NA	1	0	0	0.333333333333333
RFWD3	1	1	1	1	1
MTNR1A	NA	NA	NA	NA	NA
KCNG4	NA	NA	NA	NA	NA
RHOH	NA	NA	NA	NA	NA
KLHL30	NA	NA	NA	NA	NA
COG7	0	0	0	0	0
CDC40	0	0	0	0	0
STIP1	1	1	1	1	1
SCNN1B	NA	NA	NA	NA	NA
HR	NA	1	1	NA	1
TXNDC2	NA	NA	NA	NA	NA
RAB31	0	1	1	0	0.5
REEP4	1	1	1	1	1
TNXB	NA	0	NA	NA	0
LGI3	NA	NA	NA	NA	NA
SFTPC	NA	0	NA	NA	0
BMP1	1	1	1	1	1
ATXN2L	1	1	1	1	1
PHYHIP	NA	NA	NA	NA	NA
CCDC110	0	0	NA	0	0
POLR3D	0	0	0	1	0.25
FEN1	1	1	0	1	0.75
SDPR	NA	NA	NA	NA	NA
MTCL1	0	1	1	1	0.75
GBX2	1	1	NA	NA	1
HFE2	NA	NA	NA	NA	NA
SCGB1D1	NA	NA	NA	NA	NA
HEXIM2	1	1	1	1	1
FNTA	1	1	1	1	1
SERINC2	1	1	1	1	1
MYL1	NA	NA	NA	NA	NA
TRAPPC11	0	0	0	0	0
CHRM1	NA	NA	NA	NA	NA
COL3A1	NA	NA	NA	NA	NA
GFRA2	NA	NA	NA	NA	NA
ING2	1	0	0	0	0.25
CDKN2AIP	1	1	1	1	1
SNRNP48	1	1	1	1	1
TMEM223	1	1	1	1	1
SLC20A2	0	1	1	1	0.75
CRYGA	NA	NA	NA	NA	NA
DYNLRB2	NA	NA	1	0	0.5
TMUB2	0	0	0	0	0
ADAM29	NA	NA	NA	NA	NA
STAT3	1	1	1	0	0.75
ZSWIM1	0	0	0	0	0
ADAM9	1	1	0	1	0.75
ADAM18	NA	NA	NA	NA	NA
GDNF	NA	NA	NA	NA	NA
DPCR1	NA	NA	NA	NA	NA
WFDC13	NA	NA	NA	NA	NA
AXIN2	0	1	0	1	0.5
NDUFS5	1	1	1	1	1
VWA3B	NA	NA	NA	NA	NA
ZNF30	0	0	1	1	0.5
UGT3A2	0	NA	NA	NA	0
FAM84B	0	1	0	1	0.5
LDLRAD4	1	NA	1	NA	1
KCTD19	NA	NA	NA	NA	NA
SLC16A4	0	NA	0	0	0
IL7R	NA	NA	NA	NA	NA
TMEM208	0	0	0	0	0
LRP1B	0	NA	NA	NA	0
WFDC12	NA	NA	NA	0	0
AHCYL1	1	1	1	1	1
DNAJC21	1	1	1	1	1
PKIG	1	1	1	1	1
NPNT	0	0	0	NA	0
LINC01620	NA	NA	NA	NA	NA
CA7	NA	NA	NA	NA	NA
FAM178B	NA	NA	NA	NA	NA
TSPY2	NA	NA	NA	NA	NA
SEMA4C	1	0	1	1	0.75
CNNM3	1	1	1	1	1
