Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84.x	gene_type.84.x	chr.x	start.x	stop.x	loc.84.x	gene_name.107.x	gene_type.107.x	chr.107.x	start.107.x	stop.107.x	loc.107.x	gene_id.107.x	gene_id.84.y	gene_type.84.y	chr.y	start.y	stop.y	loc.84.y	gene_name.107.y	gene_type.107.y	chr.107.y	start.107.y	stop.107.y	loc.107.y	gene_id.107.y
LACTB2	1097.26915378472	0.77547206332242	0.208713637957341	3.71548342941021	0.000202815557256387	0.00481896468687696	ENSG00000147592	protein_coding	chr8	70635318	70669174	chr8:70635318	LACTB2	protein_coding	chr8	70635318	70669185	chr8:70635318	ENSG00000147592	ENSG00000147592	protein_coding	chr8	70635318	70669174	chr8:70635318	LACTB2	protein_coding	chr8	70635318	70669185	chr8:70635318	ENSG00000147592
LAPTM4B	2309.64282594228	-0.612973192203813	0.208642833632801	-2.93790676406652	0.00330436381437653	0.0464549925004035	ENSG00000104341	protein_coding	chr8	97775057	97853013	chr8:97775057	LAPTM4B	protein_coding	chr8	97775057	97853013	chr8:97775057	ENSG00000104341	ENSG00000104341	protein_coding	chr8	97775057	97853013	chr8:97775057	LAPTM4B	protein_coding	chr8	97775057	97853013	chr8:97775057	ENSG00000104341
LARP1B	1488.45574507839	0.815270657377599	0.201947225286711	4.03704807639784	5.41279796317792e-05	0.00163808359411963	ENSG00000138709	protein_coding	chr4	128061268	128222931	chr4:128061268	LARP1B	protein_coding	chr4	128061286	128222931	chr4:128061286	ENSG00000138709	ENSG00000138709	protein_coding	chr4	128061268	128222931	chr4:128061268	LARP1B	protein_coding	chr4	128061286	128222931	chr4:128061286	ENSG00000138709
LDLRAD3	1545.47890647321	1.13052822383267	0.210088657955522	5.38119589526826	7.39926193223121e-08	4.2975511222555e-06	ENSG00000179241	protein_coding	chr11	35943981	36232136	chr11:35943981	LDLRAD3	protein_coding	chr11	35943981	36232136	chr11:35943981	ENSG00000179241	ENSG00000179241	protein_coding	chr11	35943981	36232136	chr11:35943981	LDLRAD3	protein_coding	chr11	35943981	36232136	chr11:35943981	ENSG00000179241
LGALSL	2191.97466460285	1.22092586630467	0.201754454436532	6.05154354442643	1.43464493119532e-09	1.07132576030819e-07	ENSG00000119862	protein_coding	chr2	64453969	64461381	chr2:64453969	LGALSL	protein_coding	chr2	64453969	64461381	chr2:64453969	ENSG00000119862	ENSG00000119862	protein_coding	chr2	64453969	64461381	chr2:64453969	LGALSL	protein_coding	chr2	64453969	64461381	chr2:64453969	ENSG00000119862
LGI2	570.608419968484	-1.21972341870085	0.240844697235089	-5.06435654470845	4.09782077377225e-07	2.09754920912675e-05	ENSG00000153012	protein_coding	chr4	24998847	25030879	chr4:24998847	LGI2	protein_coding	chr4	24998847	25030946	chr4:24998847	ENSG00000153012	ENSG00000153012	protein_coding	chr4	24998847	25030879	chr4:24998847	LGI2	protein_coding	chr4	24998847	25030946	chr4:24998847	ENSG00000153012
LIFR	1760.70578195805	1.48264668793925	0.21520699937045	6.88939807848476	5.60289500957096e-12	5.6191824950639e-10	ENSG00000113594	protein_coding	chr5	38474963	38608354	chr5:38474963	LIFR	protein_coding	chr5	38474668	38608354	chr5:38474668	ENSG00000113594	ENSG00000113594	protein_coding	chr5	38474963	38608354	chr5:38474963	LIFR	protein_coding	chr5	38474668	38608354	chr5:38474668	ENSG00000113594
LIMCH1	16186.4090500862	1.01786882078117	0.189418260255673	5.3736573200877	7.7155426701828e-08	4.46621178055884e-06	ENSG00000064042	protein_coding	chr4	41359607	41700044	chr4:41359607	LIMCH1	protein_coding	chr4	41359607	41700044	chr4:41359607	ENSG00000064042	ENSG00000064042	protein_coding	chr4	41359607	41700044	chr4:41359607	LIMCH1	protein_coding	chr4	41359607	41700044	chr4:41359607	ENSG00000064042
LIN7B	104.072951635014	1.68427710395286	0.427971612569558	3.9354879026681	8.30278466843275e-05	0.00229524095401386	ENSG00000104863	protein_coding	chr19	49114324	49118460	chr19:49114324	LIN7B	protein_coding	chr19	49114324	49118460	chr19:49114324	ENSG00000104863	ENSG00000104863	protein_coding	chr19	49114324	49118460	chr19:49114324	LIN7B	protein_coding	chr19	49114324	49118460	chr19:49114324	ENSG00000104863
LONRF1	1452.22919261466	1.57493807261882	0.210560165043041	7.47975322063835	7.44623043339843e-14	9.65770488542277e-12	ENSG00000154359	protein_coding	chr8	12721894	12756073	chr8:12721894	LONRF1	protein_coding	chr8	12721906	12756073	chr8:12721906	ENSG00000154359	ENSG00000154359	protein_coding	chr8	12721894	12756073	chr8:12721894	LONRF1	protein_coding	chr8	12721906	12756073	chr8:12721906	ENSG00000154359
LPAR3	687.892367986528	1.34224555469315	0.225936281054723	5.9408145890834	2.83609240140185e-09	2.02998315038099e-07	ENSG00000171517	protein_coding	chr1	84811602	84893213	chr1:84811602	LPAR3	protein_coding	chr1	84811602	84893206	chr1:84811602	ENSG00000171517	ENSG00000171517	protein_coding	chr1	84811602	84893213	chr1:84811602	LPAR3	protein_coding	chr1	84811602	84893206	chr1:84811602	ENSG00000171517
LRCH1	322.308878291249	1.49003450125894	0.289998404857846	5.13807826629026	2.77562284998152e-07	1.47776216549942e-05	ENSG00000136141	protein_coding	chr13	46553168	46753040	chr13:46553168	LRCH1	protein_coding	chr13	46553168	46753040	chr13:46553168	ENSG00000136141	ENSG00000136141	protein_coding	chr13	46553168	46753040	chr13:46553168	LRCH1	protein_coding	chr13	46553168	46753040	chr13:46553168	ENSG00000136141
LRIG1	3935.53409713804	1.76059890712481	0.189778636885806	9.27711852090179	1.74123733431364e-20	3.90082389830004e-18	ENSG00000144749	protein_coding	chr3	66378797	66501263	chr3:66378797	LRIG1	protein_coding	chr3	66378797	66501263	chr3:66378797	ENSG00000144749	ENSG00000144749	protein_coding	chr3	66378797	66501263	chr3:66378797	LRIG1	protein_coding	chr3	66378797	66501263	chr3:66378797	ENSG00000144749
LRP11	1142.56451406229	-0.769932043414027	0.203529993595232	-3.78289228930661	0.000155016506950151	0.00386421205908973	ENSG00000120256	protein_coding	chr6	149818798	149864026	chr6:149818798	LRP11	protein_coding	chr6	149818757	149864359	chr6:149818757	ENSG00000120256	ENSG00000120256	protein_coding	chr6	149818798	149864026	chr6:149818798	LRP11	protein_coding	chr6	149818757	149864359	chr6:149818757	ENSG00000120256
LRRC20	1284.83304965332	-0.780095371467312	0.20780981941654	-3.75389081063425	0.000174110730705442	0.00424810481565612	ENSG00000172731	protein_coding	chr10	70298970	70382650	chr10:70298970	LRRC20	protein_coding	chr10	70298970	70382650	chr10:70298970	ENSG00000172731	ENSG00000172731	protein_coding	chr10	70298970	70382650	chr10:70298970	LRRC20	protein_coding	chr10	70298970	70382650	chr10:70298970	ENSG00000172731
LRRC8A	1106.41294827258	0.70912181743994	0.23921797091002	2.96433338491393	0.00303339458960732	0.04356873994232	ENSG00000136802	protein_coding	chr9	128882112	128918039	chr9:128882112	LRRC8A	protein_coding	chr9	128882133	128918039	chr9:128882133	ENSG00000136802	ENSG00000136802	protein_coding	chr9	128882112	128918039	chr9:128882112	LRRC8A	protein_coding	chr9	128882133	128918039	chr9:128882133	ENSG00000136802
LRRFIP2	2747.31154941084	1.41407416226117	0.195867161028182	7.21955714698753	5.21571469461138e-13	6.07912692446259e-11	ENSG00000093167	protein_coding	chr3	37052656	37183689	chr3:37052656	LRRFIP2	protein_coding	chr3	37052626	37183689	chr3:37052626	ENSG00000093167	ENSG00000093167	protein_coding	chr3	37052656	37183689	chr3:37052656	LRRFIP2	protein_coding	chr3	37052626	37183689	chr3:37052626	ENSG00000093167
LRRN1	790.670643403784	-2.20504938914053	0.25789726227378	-8.55010778206587	1.22973622330417e-17	2.30575541869532e-15	ENSG00000175928	protein_coding	chr3	3799437	3847703	chr3:3799437	LRRN1	protein_coding	chr3	3799431	3849834	chr3:3799431	ENSG00000175928	ENSG00000175928	protein_coding	chr3	3799437	3847703	chr3:3799437	LRRN1	protein_coding	chr3	3799431	3849834	chr3:3799431	ENSG00000175928
MAF	3124.61303845825	4.37916518588234	0.198532819645952	22.0576385994608	8.06863689917432e-108	1.39183986510757e-103	ENSG00000178573	protein_coding	chr16	79585843	79600714	chr16:79585843	MAF	protein_coding	chr16	79585843	79600737	chr16:79585843	ENSG00000178573	ENSG00000178573	protein_coding	chr16	79585843	79600714	chr16:79585843	MAF	protein_coding	chr16	79585843	79600737	chr16:79585843	ENSG00000178573
MAK	240.765811874901	2.05777005330612	0.296944994933949	6.92980211289246	4.21429709281595e-12	4.40585605158031e-10	ENSG00000111837	protein_coding	chr6	10762723	10838555	chr6:10762723	MAK	protein_coding	chr6	10762723	10838553	chr6:10762723	ENSG00000111837	ENSG00000111837	protein_coding	chr6	10762723	10838555	chr6:10762723	MAK	protein_coding	chr6	10762723	10838553	chr6:10762723	ENSG00000111837
MALT1	1655.73042790714	2.02225653895679	0.204368742804317	9.8951361700801	4.37015277056445e-23	1.15977131218826e-20	ENSG00000172175	protein_coding	chr18	58671386	58754477	chr18:58671386	MALT1	protein_coding	chr18	58671465	58754477	chr18:58671465	ENSG00000172175	ENSG00000172175	protein_coding	chr18	58671386	58754477	chr18:58671386	MALT1	protein_coding	chr18	58671465	58754477	chr18:58671465	ENSG00000172175
MAMLD1	198.663401721313	-1.4495374443735	0.343881549460848	-4.21522308087233	2.49531408328983e-05	0.000840706405014641	ENSG00000013619	protein_coding	chrX	150361422	150514178	chrX:150361422	MAMLD1	protein_coding	chrX	150361422	150514178	chrX:150361422	ENSG00000013619	ENSG00000013619	protein_coding	chrX	150361422	150514178	chrX:150361422	MAMLD1	protein_coding	chrX	150361422	150514178	chrX:150361422	ENSG00000013619
MAN1A1	2334.66493984558	-0.987710196918385	0.20113246815551	-4.91074467477182	9.07311653453701e-07	4.44634261990805e-05	ENSG00000111885	protein_coding	chr6	119177209	119349761	chr6:119177209	MAN1A1	protein_coding	chr6	119177205	119349761	chr6:119177205	ENSG00000111885	ENSG00000111885	protein_coding	chr6	119177209	119349761	chr6:119177209	MAN1A1	protein_coding	chr6	119177205	119349761	chr6:119177205	ENSG00000111885
MAN1C1	218.340315039205	-1.25353247359717	0.304935277950919	-4.1108148654382	3.94265235529666e-05	0.00125945839127532	ENSG00000117643	protein_coding	chr1	25617468	25786207	chr1:25617468	MAN1C1	protein_coding	chr1	25616791	25786206	chr1:25616791	ENSG00000117643	ENSG00000117643	protein_coding	chr1	25617468	25786207	chr1:25617468	MAN1C1	protein_coding	chr1	25616791	25786206	chr1:25616791	ENSG00000117643
MANBA	417.653946480593	-1.02729538882345	0.243638624394838	-4.21647179865303	2.48154304607924e-05	0.000837702887375087	ENSG00000109323	protein_coding	chr4	102631488	102760994	chr4:102631488	MANBA	protein_coding	chr4	102630770	102760994	chr4:102630770	ENSG00000109323	ENSG00000109323	protein_coding	chr4	102631488	102760994	chr4:102631488	MANBA	protein_coding	chr4	102630770	102760994	chr4:102630770	ENSG00000109323
MAOA	25249.6352907891	0.905168843554955	0.17738330933426	5.10289748766193	3.34492213075709e-07	1.73794899866144e-05	ENSG00000189221	protein_coding	chrX	43654907	43746824	chrX:43654907	MAOA	protein_coding	chrX	43654907	43746817	chrX:43654907	ENSG00000189221	ENSG00000189221	protein_coding	chrX	43654907	43746824	chrX:43654907	MAOA	protein_coding	chrX	43654907	43746817	chrX:43654907	ENSG00000189221
MAP1B	4984.48835418316	0.757595208778434	0.237477394277597	3.19017821078519	0.00142185085859215	0.0245269273107146	ENSG00000131711	protein_coding	chr5	72107234	72209570	chr5:72107234	MAP1B	protein_coding	chr5	72107234	72209565	chr5:72107234	ENSG00000131711	ENSG00000131711	protein_coding	chr5	72107234	72209570	chr5:72107234	MAP1B	protein_coding	chr5	72107234	72209565	chr5:72107234	ENSG00000131711
MAP2K4	1880.67458715051	0.662031792728259	0.194410160239541	3.40533535856635	0.000660828472632614	0.0131479713413063	ENSG00000065559	protein_coding	chr17	12020824	12143830	chr17:12020824	MAP2K4	protein_coding	chr17	12020829	12143830	chr17:12020829	ENSG00000065559	ENSG00000065559	protein_coding	chr17	12020824	12143830	chr17:12020824	MAP2K4	protein_coding	chr17	12020829	12143830	chr17:12020829	ENSG00000065559
MAP2K6	581.417510056193	-1.33484628756457	0.237821722503621	-5.61280220121291	1.99076116597932e-08	1.25620185739771e-06	ENSG00000108984	protein_coding	chr17	69414698	69543331	chr17:69414698	MAP2K6	protein_coding	chr17	69414697	69553865	chr17:69414697	ENSG00000108984	ENSG00000108984	protein_coding	chr17	69414698	69543331	chr17:69414698	MAP2K6	protein_coding	chr17	69414697	69553865	chr17:69414697	ENSG00000108984
MAP7	2459.57693407471	0.677763913902662	0.193317030885786	3.50597105075078	0.000454944698553676	0.00965085266420746	ENSG00000135525	protein_coding	chr6	136342281	136550819	chr6:136342281	MAP7	protein_coding	chr6	136342281	136550819	chr6:136342281	ENSG00000135525	ENSG00000135525	protein_coding	chr6	136342281	136550819	chr6:136342281	MAP7	protein_coding	chr6	136342281	136550819	chr6:136342281	ENSG00000135525
MAP7D1	4907.26782180917	1.71508179297335	0.209778626478185	8.17567462313279	2.94214984048973e-16	5.02495888598493e-14	ENSG00000116871	protein_coding	chr1	36155579	36180849	chr1:36155579	MAP7D1	protein_coding	chr1	36155579	36180849	chr1:36155579	ENSG00000116871	ENSG00000116871	protein_coding	chr1	36155579	36180849	chr1:36155579	MAP7D1	protein_coding	chr1	36155579	36180849	chr1:36155579	ENSG00000116871
MAP9	711.187702276451	1.03336485366765	0.234692381447198	4.40306092296459	1.06734177302907e-05	0.000398520467202413	ENSG00000164114	protein_coding	chr4	155342658	155376970	chr4:155342658	MAP9	protein_coding	chr4	155342658	155376970	chr4:155342658	ENSG00000164114	ENSG00000164114	protein_coding	chr4	155342658	155376970	chr4:155342658	MAP9	protein_coding	chr4	155342658	155376970	chr4:155342658	ENSG00000164114
MAPK6	3478.29804713591	1.52395393108864	0.22012186016768	6.92322847866064	4.41464874993019e-12	4.5875115021865e-10	ENSG00000069956	protein_coding	chr15	51952106	52067372	chr15:51952106	MAPK6	protein_coding	chr15	51952106	52067375	chr15:51952106	ENSG00000069956	ENSG00000069956	protein_coding	chr15	51952106	52067372	chr15:51952106	MAPK6	protein_coding	chr15	51952106	52067375	chr15:51952106	ENSG00000069956
MARCH5	1872.8723550488	0.674461128889378	0.204751968113858	3.29403978434203	0.00098758519293875	0.0182201546290839	ENSG00000198060	protein_coding	chr10	92291163	92353964	chr10:92291163	MARCHF5	protein_coding	chr10	92291167	92353964	chr10:92291167	ENSG00000198060	ENSG00000198060	protein_coding	chr10	92291163	92353964	chr10:92291163	MARCHF5	protein_coding	chr10	92291167	92353964	chr10:92291167	ENSG00000198060
MARCKS	4554.03131742304	0.675671057642402	0.204522432166976	3.30365256506812	0.00095434025637083	0.0177263923384892	ENSG00000277443	protein_coding	chr6	113857362	113863471	chr6:113857362	MARCKS	protein_coding	chr6	113857345	113863475	chr6:113857345	ENSG00000277443	ENSG00000277443	protein_coding	chr6	113857362	113863471	chr6:113857362	MARCKS	protein_coding	chr6	113857345	113863475	chr6:113857345	ENSG00000277443
MBOAT2	13613.9443057444	2.0515354907086	0.183519106940034	11.1788659225492	5.17470149159543e-29	2.41252974946003e-26	ENSG00000143797	protein_coding	chr2	8852690	9003813	chr2:8852690	MBOAT2	protein_coding	chr2	8852690	9003709	chr2:8852690	ENSG00000143797	ENSG00000143797	protein_coding	chr2	8852690	9003813	chr2:8852690	MBOAT2	protein_coding	chr2	8852690	9003709	chr2:8852690	ENSG00000143797
MCPH1	930.12169306051	0.667459333182645	0.219663048640761	3.03855990942844	0.00237711834576749	0.0361917841698934	ENSG00000147316	protein_coding	chr8	6406592	6648504	chr8:6406592	MCPH1	protein_coding	chr8	6406592	6648508	chr8:6406592	ENSG00000147316	ENSG00000147316	protein_coding	chr8	6406592	6648504	chr8:6406592	MCPH1	protein_coding	chr8	6406592	6648508	chr8:6406592	ENSG00000147316
MCTP1	196.727785105799	-1.84331893585016	0.327640250688966	-5.62604543237288	1.8438780147291e-08	1.17368619018735e-06	ENSG00000175471	protein_coding	chr5	94703741	95284575	chr5:94703741	MCTP1	protein_coding	chr5	94703690	95285094	chr5:94703690	ENSG00000175471	ENSG00000175471	protein_coding	chr5	94703741	95284575	chr5:94703741	MCTP1	protein_coding	chr5	94703690	95285094	chr5:94703690	ENSG00000175471
MEAF6	1929.1542954502	0.756623250196834	0.196323496413698	3.85396177237216	0.000116221749579828	0.00305148429262106	ENSG00000163875	protein_coding	chr1	37492575	37514774	chr1:37492575	MEAF6	protein_coding	chr1	37489993	37514766	chr1:37489993	ENSG00000163875	ENSG00000163875	protein_coding	chr1	37492575	37514774	chr1:37492575	MEAF6	protein_coding	chr1	37489993	37514766	chr1:37489993	ENSG00000163875
MERTK	623.046909871921	1.69509296365957	0.232031925705707	7.305429882134	2.76381679924116e-13	3.35745350612042e-11	ENSG00000153208	protein_coding	chr2	111898479	112029561	chr2:111898479	MERTK	protein_coding	chr2	111898607	112029561	chr2:111898607	ENSG00000153208	ENSG00000153208	protein_coding	chr2	111898479	112029561	chr2:111898479	MERTK	protein_coding	chr2	111898607	112029561	chr2:111898607	ENSG00000153208
MFSD2A	381.595217812836	1.081076850577	0.260161613157753	4.15540493255425	3.24711940610927e-05	0.00106286166518757	ENSG00000168389	protein_coding	chr1	39955112	39969968	chr1:39955112	MFSD2A	protein_coding	chr1	39955112	39969968	chr1:39955112	ENSG00000168389	ENSG00000168389	protein_coding	chr1	39955112	39969968	chr1:39955112	MFSD2A	protein_coding	chr1	39955112	39969968	chr1:39955112	ENSG00000168389
MGAT4A	289.008706556046	-1.00450310907734	0.323637532097753	-3.10379053556106	0.00191058543769875	0.0306752991574989	ENSG00000071073	protein_coding	chr2	98619106	98731126	chr2:98619106	MGAT4A	protein_coding	chr2	98619106	98731132	chr2:98619106	ENSG00000071073	ENSG00000071073	protein_coding	chr2	98619106	98731126	chr2:98619106	MGAT4A	protein_coding	chr2	98619106	98731132	chr2:98619106	ENSG00000071073
MIA3	4695.73794855034	0.64434402695303	0.184755458057912	3.48755069931985	0.000487466492584432	0.0102110325997115	ENSG00000154305	protein_coding	chr1	222618086	222668012	chr1:222618086	MIA3	protein_coding	chr1	222618097	222668007	chr1:222618097	ENSG00000154305	ENSG00000154305	protein_coding	chr1	222618086	222668012	chr1:222618086	MIA3	protein_coding	chr1	222618097	222668007	chr1:222618097	ENSG00000154305
MICAL1	863.57440284103	2.58797051366411	0.225677018947915	11.4675855154813	1.91940151313092e-30	1.03467737817214e-27	ENSG00000135596	protein_coding	chr6	109444062	109465968	chr6:109444062	MICAL1	protein_coding	chr6	109444062	109465968	chr6:109444062	ENSG00000135596	ENSG00000135596	protein_coding	chr6	109444062	109465968	chr6:109444062	MICAL1	protein_coding	chr6	109444062	109465968	chr6:109444062	ENSG00000135596
MINOS1	3445.90658744781	0.934253545887407	0.2453679890883	3.807560836924	0.000140344219929629	0.00356020263792075	ENSG00000173436	protein_coding	chr1	19596977	19629821	chr1:19596977	MICOS10	protein_coding	chr1	19484403	19629821	chr1:19484403	ENSG00000173436	ENSG00000173436	protein_coding	chr1	19596977	19629821	chr1:19596977	MICOS10	protein_coding	chr1	19484403	19629821	chr1:19484403	ENSG00000173436
MKLN1	3379.88576013004	1.06444951849021	0.195589605243203	5.4422601710691	5.26087630933195e-08	3.12931435641297e-06	ENSG00000128585	protein_coding	chr7	131110096	131496636	chr7:131110096	MKLN1	protein_coding	chr7	131110096	131496632	chr7:131110096	ENSG00000128585	ENSG00000128585	protein_coding	chr7	131110096	131496636	chr7:131110096	MKLN1	protein_coding	chr7	131110096	131496632	chr7:131110096	ENSG00000128585
MLPH	5062.26709429913	1.50156281600314	0.200297510079123	7.49666241687168	6.54632883411396e-14	8.55486154458075e-12	ENSG00000115648	protein_coding	chr2	237485428	237555318	chr2:237485428	MLPH	protein_coding	chr2	237485428	237555322	chr2:237485428	ENSG00000115648	ENSG00000115648	protein_coding	chr2	237485428	237555318	chr2:237485428	MLPH	protein_coding	chr2	237485428	237555322	chr2:237485428	ENSG00000115648
MMAA	530.700154303388	1.31272602932159	0.232938741676945	5.63549892933723	1.74552228790151e-08	1.11519479504819e-06	ENSG00000151611	protein_coding	chr4	145618263	145660035	chr4:145618263	MMAA	protein_coding	chr4	145599042	145660033	chr4:145599042	ENSG00000151611	ENSG00000151611	protein_coding	chr4	145618263	145660035	chr4:145618263	MMAA	protein_coding	chr4	145599042	145660033	chr4:145599042	ENSG00000151611
MMP16	331.476288048028	-1.72308452951701	0.28801625232868	-5.98259478618119	2.19610633120024e-09	1.59843182334195e-07	ENSG00000156103	protein_coding	chr8	88032009	88328025	chr8:88032009	MMP16	protein_coding	chr8	88032011	88328025	chr8:88032011	ENSG00000156103	ENSG00000156103	protein_coding	chr8	88032009	88328025	chr8:88032009	MMP16	protein_coding	chr8	88032011	88328025	chr8:88032011	ENSG00000156103
MOGAT2	171.972432596978	2.48158618109603	0.344420742173292	7.20510084682253	5.80009068556246e-13	6.67010428839683e-11	ENSG00000166391	protein_coding	chr11	75717819	75732958	chr11:75717819	MOGAT2	protein_coding	chr11	75717838	75732958	chr11:75717838	ENSG00000166391	ENSG00000166391	protein_coding	chr11	75717819	75732958	chr11:75717819	MOGAT2	protein_coding	chr11	75717838	75732958	chr11:75717838	ENSG00000166391
MON1B	2104.21783248758	0.898992585644196	0.202664082427945	4.43587524179981	9.1698946321066e-06	0.000349957261955396	ENSG00000103111	protein_coding	chr16	77190835	77202405	chr16:77190835	MON1B	protein_coding	chr16	77190835	77202398	chr16:77190835	ENSG00000103111	ENSG00000103111	protein_coding	chr16	77190835	77202405	chr16:77190835	MON1B	protein_coding	chr16	77190835	77202398	chr16:77190835	ENSG00000103111
MPC2	13811.4416022467	1.47871499038841	0.218009602502596	6.78279751631948	1.17870788153066e-11	1.13203360699781e-09	ENSG00000143158	protein_coding	chr1	167916729	167937040	chr1:167916729	MPC2	protein_coding	chr1	167916675	167937072	chr1:167916675	ENSG00000143158	ENSG00000143158	protein_coding	chr1	167916729	167937040	chr1:167916729	MPC2	protein_coding	chr1	167916675	167937072	chr1:167916675	ENSG00000143158
MPZL1	6080.15655405786	1.00823868268859	0.233594515843179	4.31619158116476	1.58744217597241e-05	0.000565772263130661	ENSG00000197965	protein_coding	chr1	167721192	167791919	chr1:167721192	MPZL1	protein_coding	chr1	167721192	167791919	chr1:167721192	ENSG00000197965	ENSG00000197965	protein_coding	chr1	167721192	167791919	chr1:167721192	MPZL1	protein_coding	chr1	167721192	167791919	chr1:167721192	ENSG00000197965
MRPS18A	2104.61260843522	0.915586369165516	0.20801798664501	4.40147692962722	1.07516501678647e-05	0.000400574439299493	ENSG00000096080	protein_coding	chr6	43671303	43687791	chr6:43671303	MRPS18A	protein_coding	chr6	43671202	43687791	chr6:43671202	ENSG00000096080	ENSG00000096080	protein_coding	chr6	43671303	43687791	chr6:43671303	MRPS18A	protein_coding	chr6	43671202	43687791	chr6:43671202	ENSG00000096080
MTMR9	1766.57167702618	2.05234891081776	0.226362029138677	9.06666598911085	1.22714388601652e-19	2.64602900422311e-17	ENSG00000104643	protein_coding	chr8	11284416	11328146	chr8:11284416	MTMR9	protein_coding	chr8	11284816	11328146	chr8:11284816	ENSG00000104643	ENSG00000104643	protein_coding	chr8	11284416	11328146	chr8:11284416	MTMR9	protein_coding	chr8	11284816	11328146	chr8:11284816	ENSG00000104643
MTOR	2855.31151110708	0.884554848490059	0.204743550509029	4.32030628701564	1.558127831092e-05	0.000557628736231057	ENSG00000198793	protein_coding	chr1	11106535	11262507	chr1:11106535	MTOR	protein_coding	chr1	11106535	11262556	chr1:11106535	ENSG00000198793	ENSG00000198793	protein_coding	chr1	11106535	11262507	chr1:11106535	MTOR	protein_coding	chr1	11106535	11262556	chr1:11106535	ENSG00000198793
MUM1L1	136.104767309423	1.67338568480657	0.370904773743044	4.51163156494142	6.43308609972802e-06	0.000258071477256531	ENSG00000157502	protein_coding	chrX	106168305	106208956	chrX:106168305	PWWP3B	protein_coding	chrX	106168305	106208956	chrX:106168305	ENSG00000157502	ENSG00000157502	protein_coding	chrX	106168305	106208956	chrX:106168305	PWWP3B	protein_coding	chrX	106168305	106208956	chrX:106168305	ENSG00000157502
MXI1	1448.43606510949	-0.797779203618167	0.20055275602201	-3.97790197174161	6.95260223347027e-05	0.00198235352937789	ENSG00000119950	protein_coding	chr10	110207605	110287365	chr10:110207605	MXI1	protein_coding	chr10	110207605	110287365	chr10:110207605	ENSG00000119950	ENSG00000119950	protein_coding	chr10	110207605	110287365	chr10:110207605	MXI1	protein_coding	chr10	110207605	110287365	chr10:110207605	ENSG00000119950
MYBPC1	167.262834892081	2.35088331548374	0.335472195796683	7.0076845262864	2.42294357342603e-12	2.56415807617172e-10	ENSG00000196091	protein_coding	chr12	101568353	101686018	chr12:101568353	MYBPC1	protein_coding	chr12	101568353	101686028	chr12:101568353	ENSG00000196091	ENSG00000196091	protein_coding	chr12	101568353	101686018	chr12:101568353	MYBPC1	protein_coding	chr12	101568353	101686028	chr12:101568353	ENSG00000196091
MYC	9192.76791200156	-0.770582458997231	0.18508112091911	-4.16348493660796	3.13426712156131e-05	0.00102983062565586	ENSG00000136997	protein_coding	chr8	127735434	127741434	chr8:127735434	MYC	protein_coding	chr8	127735434	127742951	chr8:127735434	ENSG00000136997	ENSG00000136997	protein_coding	chr8	127735434	127741434	chr8:127735434	MYC	protein_coding	chr8	127735434	127742951	chr8:127735434	ENSG00000136997
MYL12A	3614.2853623527	0.689488044496861	0.205151492895857	3.36087266421635	0.000776966367150742	0.0150422781519083	ENSG00000101608	protein_coding	chr18	3247481	3256236	chr18:3247481	MYL12A	protein_coding	chr18	3247481	3256236	chr18:3247481	ENSG00000101608	ENSG00000101608	protein_coding	chr18	3247481	3256236	chr18:3247481	MYL12A	protein_coding	chr18	3247481	3256236	chr18:3247481	ENSG00000101608
MYLK	542.809977977772	-1.48235363850064	0.266959793530407	-5.55272244893986	2.81254457606933e-08	1.72043950131901e-06	ENSG00000065534	protein_coding	chr3	123610049	123884331	chr3:123610049	MYLK	protein_coding	chr3	123610049	123884332	chr3:123610049	ENSG00000065534	ENSG00000065534	protein_coding	chr3	123610049	123884331	chr3:123610049	MYLK	protein_coding	chr3	123610049	123884332	chr3:123610049	ENSG00000065534
MYOF	296.139805846928	3.17008934249422	0.299909276891893	10.5701610011781	4.09790515095399e-26	1.50401837987141e-23	ENSG00000138119	protein_coding	chr10	93306429	93482317	chr10:93306429	MYOF	protein_coding	chr10	93306429	93482334	chr10:93306429	ENSG00000138119	ENSG00000138119	protein_coding	chr10	93306429	93482317	chr10:93306429	MYOF	protein_coding	chr10	93306429	93482334	chr10:93306429	ENSG00000138119
MYZAP	179.97652073293	-1.5176272135185	0.314955550565822	-4.81854411135813	1.4460955658003e-06	6.85306277748768e-05	ENSG00000263155	protein_coding	chr15	57591941	57685364	chr15:57591941	MYZAP	protein_coding	chr15	57591904	57685364	chr15:57591904	ENSG00000263155	ENSG00000263155	protein_coding	chr15	57591941	57685364	chr15:57591941	MYZAP	protein_coding	chr15	57591904	57685364	chr15:57591904	ENSG00000263155
NAMPT	5798.31034805465	0.877353873633101	0.20353607822923	4.31055703375099	1.62843820750659e-05	0.000575622915650152	ENSG00000105835	protein_coding	chr7	106248285	106286326	chr7:106248285	NAMPT	protein_coding	chr7	106248298	106285966	chr7:106248298	ENSG00000105835	ENSG00000105835	protein_coding	chr7	106248285	106286326	chr7:106248285	NAMPT	protein_coding	chr7	106248298	106285966	chr7:106248298	ENSG00000105835
