7496_IG1_20201218	7496_IG3_20201218	7496_ZFX2_ZFY1_20201218	7496_ZFX3_ZFY2_20201218	7497_IG1_20201218	7497_IG3_20201218	7497_ZFX2_ZFY1_20201218	7497_ZFX3_ZFY2_20201218	7506_IG1_20201218	7506_IG3_20201218	7506_ZFX2_ZFY1_20201218	7506_ZFX3_ZFY2_20201218
LL22NC03-23C6.15	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-24A12.8	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-24A12.9	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-27C5.1	11.0067	4.01366	11.1127	8.01243	1.07962	2.0157	1	2.00108	12.4397	3.00103	9.03402	2.00154
LL22NC03-2H8.4	0	0	1.66124	3	1	0	0	0	0	0	0	0
LL22NC03-2H8.5	24	83	53	44	10	16	9	14	23	14	16	9
LL22NC03-30E12.10	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-30E12.11	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-30E12.13	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-32F9.1	1	2	0	2	0	2	0	3	1	1	0	1
LL22NC03-48A11.14	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-63E9.3	1.35944	4.93636	2.42417	1.09604	6.47546	8.25901	2.1073	0	4.1899	0	0	4.79669
LL22NC03-75A1.9	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-75H12.2	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-80A10.11	0	0	0	2	0	0	0	0	0	0	0	0
LL22NC03-80A10.6	954.883	1132.1	1026.44	1023.65	378.386	579.273	531.61	627.189	1176.95	737.536	849.192	960.352
LL22NC03-84E4.11	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-84E4.13	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-84E4.8	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-86D4.1	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-86G7.1	317.846	431.995	496.025	432.917	142.104	230.557	133.243	121.774	200.985	111.971	150.17	159.797
LL22NC03-88E1.17	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-88E1.18	0	0	0	0	0	0	0	0	0	0	0	0
LL22NC03-N14H11.1	9	21	24	12	0	0	0	0	3	2	3	2
LL22NC03-N64E9.1	42	59	78	33	10	12	40	24	26	34	31	48
LL22NC03-N95F10.1	16.7156	15.2014	15.6816	8.72629	3.56722	7.87252	2.41986	5.60983	7.4569	9.38461	12.892	26.3095
LLfos-48D6.2	8.55588	17.6795	0	0	0	4.32834	5.27658e-07	0	31.0081	0	0	19.0745
LLGL1	1731.43	2338.06	1646.23	1692.61	1377.62	1882.02	1725.7813	2040.61	2258.78	1402.24	1441.46	1555.09
LLGL2	4	2.00452	1.0000004755	1.00538	1.000000386	1.00311	1	3.0003824337	8.00323443	2.9999993136	3.00381	5.011365270632
LLNLF-136C3.1	0	0	0	0	0	0	0	0	0	0	0	0
LLNLF-158E9.1	4	2	1	3	2	4	0	0	3	0	0	2
LLNLF-173C4.1	0	1.87908	0.515665	0	0	0	1.37936	0	0	0	0.615319	0
LLNLF-173C4.2	0	0.00248182	0	0	0	0	0	0	0	0	0	0
LLNLF-176F2.1	9.77244	0	3.49993	2.69701	0	2.43551	2.03645	0	0	0	0	0
LLNLF-187D8.1	0	0	0	0	2	0	0	0	0	0	0	0
LLNLF-18A12.1	0	0	0	0	0	0	0	0	0	0	0	0
LLNLF-65H9.1	0	0	0	0	0	0	0	0	0	0	0	0
LLNLR-222A1.1	8.64411	11.0687	12.7123	12.5148	7.43705	5.03681	7.37844	6.8928	5.22712	2.90086	11.7421	10.9723
LLNLR-245B6.1	177.492	236.107	145.873	188.558	128.04	142.955	123.876	149.743	232.984	104.684	140.657	118.847
LLNLR-246C6.1	46.635	60.7349	75.8671	52.9315	44.8081	36.9169	35.8332	22.3842	46.1797	26.5153	31.8879	43.8533
LLNLR-249E10.1	0	0	0	0	0	0	0	0	0	0	0	0
LLNLR-259H9.1	0	0	0	0	0	0	0	0	0	0	0	0
LLNLR-260G6.1	1.00319	2.04891	2.02476	0	0	4.01434	0	4	0	0	0	0
LLNLR-268E12.1	7	6	4	4	0	2	0	2	5	3	0	2
LLNLR-276E7.1	0	0	0	0	0	0	0	0	0	0	1	0
LLNLR-276H7.1	4.18769	2.49794	9.93614	1.81264	0	4.19402	0	3.91408	0	4.51369	4.26462	0
LLNLR-284B4.1	1.57444	0	0	0	2.16052	0	0	0	0	0	0	0
LLNLR-284B4.2	9.67647	14.5118	7.89392	11.004	3.415	11.2936	1.14078	7.12181	16.4932	8.81736	6.11935	0
LLNLR-285B5.1	0	0	1.00464	2.24114	0	0	0	0	0	0	0	0
LLNLR-304A6.1	5.93907	15.3354	14.858	15.5653	7.21075	10.1137	11.4411	6.68431	5.32777	3.58986	3.20578	5.34047
LLNLR-304A6.2	0	6	1	1	0	0	3	1	2	3	0	2
LLNLR-304G9.1	7	3	0	6	9	0	4	8	14	9	1	7
LLNLR-307A6.1	2.01508	4.02613	2.01181	4.03375	5.04796	2.04876	0	0	4.16777	0	0	0
LLNLR-470E3.1	0	0	0	0	0	0	0	0	0	0	0	0
LLPH	3042.24	3677.4	3614.06	3505.79	1904.796	2725.34	2888.181	3102.38	3646.59	2438.835	2580.613	2868.58
LLPH-AS1	4.5362	2.91597	3.76899	6.36394	1.32535	4.31416	0	0	3.86947	1.06562	0	0
LLPHP1	0	0	0	0	0	0	0	0	0	0	0	0
LLPHP2	0	0	0	0	0	0	0	0	0	0	0	0
LMAN1	17273	24100	25090	19498	11451	13908	18210	18065	22708	14235	16201	18015
LMAN1L	0	0	0	0	0	0	0	0	0	0	0	0
LMAN2	8130	10547	9565	8503	4734	6360	6351	6747	11051	6807	8029	8063
LMAN2L	1424	1826.0032	1265.99934	1171.0024	776	1141.9959	1211	1176.99963	1931.9997	1392.9996	1263	1448.9961
LMBR1	2214.43	3235.12	2583.48	2437.33	1744.097	2281.21	3146.75	3059.09	3227.01	2244.37	2150.09	2441.634
LMBR1L	716	1004	709	615	330	514	529	569	972	541	625	578
LMBRD1	2110.0041	2936.0026704	2748.002	2145.9987063	1517.998	2067.005	2657.002	2815.0000604798	2328.9958	1510	1814.000148192	1979.997
LMBRD2	1369	2075	2525	1853	1174	1399	2475	2131	2048	1431	1700	1904
LMCD1	741.2741	1209.744	3020.323	814.1538	531.0025	473.0081	799.9372	660.0002	5952.006	2887.998	4961.663	4544.569
LMCD1-AS1	6	20.484371	23.82345	19.38749	9.81495	3.04743	18.80553	9.82452	16.40304	12	23.78301	21.64053
LMF1	712.00033	930	667.9999	650	606	730	809	860	1085	584	790	735.00035
LMF1-AS1	19	33	20	13	24	30	41	42	63	26	26	40
LMF2	5613	7046.001	4593.997	5000.0016	3784.999	4885.0023	4764.0006	5360.998	7249.003	4236.9965	4253	4514.0007
LMLN	860.21	1190.5508	1017.448359	769.9684	558.8384	651.0691	621.9413	627.5226	905.831	479.61176	594.8051	671.353
LMLN-AS1	0	1.03141	0	0	0	0	0	0	0	0	0	0
LMNA	68246.9694	84622.05888	65665.9544	70304.024	37754.046	47348.0157768	52704.95405	54266.9114	74759.0659	44368.004	48229.9765	51228.9548
LMNB1	892	977	794	1543	143	287	235	312	946	941	808	1047
LMNB2	4806	5303	4121	6195	2234	3329	2887	3237	5823	4564	3721	4598
LMNTD1	2.01658	9.28993	5.40175	6.0569	1.02142	2.00798	7.01831	1	47.4425	19.1468	28.25476	26.15798
LMNTD2	1	4	4	4	0	0	4	2	3	6	7	6.58265
LMO1	0	0	0	0	0	0	0	3	0	0	0	0
LMO2	0	3	5	4	25	31	29	30	16	9	11	1
LMO3	0	6.0000003363683	6.999999678428	1	1	2	2	7	27.99999111937	21	26.00004	13.99999
LMO4	2249.001	2871	3280	2668	1254	1761.004	1857	2219.997	3632	2331.996	2779	2809
LMO7	54489.506	82147.5816	84374.04	53033.101	40947.78	51704.25	40081.79	39905.4596	33537.201	20755.484	23668.272	26452.874
LMO7-AS1	26	39	28	35	50	55	64	73	894	396	630	632
LMO7DN	6	8	4	14	8	15	9	3	0	3	0	0
LMO7DN-IT1	0	11	1	12	0	4	11	0	0	0	0	0
LMOD1	2740	4664	4327.99624	1950	1596	1619.00495	988.0005	810	1588.9953	834	1010.00234	969
LMOD2	0	0	0	2	0	0	0	0	0	0	0	0
LMOD3	16.7708	14.3982	12.7033	7.72356	6.72541	14.1619	11.225	6.70604	11.1914	9.99701	3.41756	11.6082
LMTK2	1241.4	1696.56	1586.11	1420.77	988.22	1341.07	829.07	954	1059.06	894.986	759.156	899.026
LMTK3	13	36	17	10	8	11	13	20	22	10	15	12
LMX1A	0	0	0	0	0	0	0	0	0	0	0	0
LMX1B	3.159192	12.31053	8.08804	6.05204	8.050924	5.009651	8.121791	6.053695	5.021158	3.2184298	5.1500782	9.207396
LNP1	79.4285	125.5735	126.4684	112.2301	11.0572	33.1143	56.23967	70.2205	124.026000130291	86.701779	66.1004	129.4669
LNPEP	4178.352	5818.047	5425.972	4687.082	3040.45	3903.427	3623.453	3371.353	4937.49	3440.461	3215.283	3733.93
LNX1	1239.95295	1810.8456	1839.3367	1472.99	1023.18643	1198.06	1425.1	1673.3076	1309.66195	703.642	861.29874	958.368
LNX1-AS1	0	0	0	0	0	2	0	0	0	0	0	0
LNX1-AS2	2	2	6.54353	5.67501	0.521042	3	6	1	0	0	0.744733	3
LNX2	497.744	550.421	623.2	524.913	346.561	483.419	524.46	629.621	761.105	504.016	577.822	756.924
LOC100421166	2	0	0	0	3	0	0	2	0	0	0	0
LOC401913	0	0	0	0	0	0	0	0	0	0	0	0
LOC440461	0	0	3	0	0	0	0	0	0	0	0	0
LOH12CR2	62.6362	57.1165	52.9047	55.4483	14.629	29.8189	30.1046	42.3335	60.8545	39.1496	60.7326	67.0573
LONP1	3527.0262795	4199.99500015372	4684.03000028929	4237.0030003197	2308.00000028674	2978.9961	2771.99700011706	3273.0035287723	3921.0998	2555.99600181451	2789.00200009306	3075.99490027114
LONP2	6981.54	9084.56	6721.23	6279.21	4556.84	6102.37	4988.07	5210.24	7799.03	4819.87	4639.36	5021.28
LONRF1	328	457.00044	493.0003	347	204.0002	338.9995	213.0001	241.00007	475.0001	290.9999	306.9997	357.00014
LONRF2	13.147	19.3661	9.11258	8.83289	7.00363	15.0225	12.517	8.03139	21.059	9.414992	4.31622	11.4005
LONRF2P1	0	0	0	0	0	0	0	0	0	0	0	0
LONRF2P2	0	0	0	0	0	0	0	0	0	0	0	0
LONRF3	2	3	2	3	0	0	0	0	1	2	0	4
LOR	0	0	0	0	0	0	0	0	2	0	0	0
LOX	205752	292392	311466	219891	151745	189135	206302	206730	244203	145636	182908	199592
LOXHD1	0	0	0	0	0	0	0	0	0	0	0	0
LOXL1	14814.2	18970	11749.3	13973.6	7873.6	9937.78	9885.42	11407.9	12813.8	7133.39	7894.37	7996.47
LOXL1-AS1	1237.3881	1588.7811	1027.0821	1243.057	493.913	727.1154	649.305	746.7519	1645.6174	1078.3122	904.9308	1113.9926
LOXL2	33582.9	42142.9	45603.9	34819.9	17938	21657.9	14887.9	16196	35552.8	20176.9	27997.9	30409.9
LOXL3	1745.4249	2378.1048	2429.2468	1419.97947	1310.1655	1513.8061	1494.259955	1444.4864	1134.28043	502.16	620.3114	523.859900014881
LOXL4	3368.95	5666.77	2914.88	2651.94	9200.29	9868	9799.8	9818.76	1414	816	827	929
LPA	0	0	0	0	0	0	0	0	0	0	0	0
LPAL2	1.00058	4.0353	3.09754	10.0592	0	1.05355	0	1.05066	0	1.03684	0	2
LPAR1	6099.00273	8273.00176	6588.0018	6834.004	3666.9992	5046.0038	5766.00099	6305.00045	6691.9968	4370.0017	4762.003	5141.9975
LPAR2	44	44.99997	47.000000247701	23	18.9999900202671	32	9	14	33.00004	17	9.999997	19
LPAR3	5.00158	6.18444	5.2291	5.07533	3.14726	21.7709	10.0006	7.00107	12.1394	15.1077	19.09135	6.00033
LPAR4	38.7877	45.4201	58.5476	26.3083	27.5263	22.0225	16.0634	19.1306	56.2528	5.83823	47.0674	23.8729
LPAR5	2	1	1	2	3	0	0	1	3	10	2	2
LPAR6	75.0766	126.23615	187.9999	88.02728	52.00004	52.1205000803467	56.00001	49	43.00004	15	40	51
LPCAT1	4870	6031	3690.99828	4222	2512	3376.0008	2643.00492	3032	6381.99706	4164	3969	4280.00243
LPCAT2	2038.31933	2903.7318	2454.3985	2214.8979	2380.216	2992.7955	3446.2801	3736.94	975.543	658.7798	629.216	737.914
LPCAT2BP	0	0	0	0	0	0	0	0	0	0	0	0
LPCAT3	911.234	1265.45	1271.64	1265.92	836.958	1167.26	1605.82	1803.16	1492.33	835.718	1242.92	1301.52
LPCAT4	1404	1752	1422	1448	935	1181	1310	1475	1523	932	1017	1066
LPGAT1	4456.2067	6179.9357	5219.075	3847.547	2904.6655	3594.6429	3239.6514	3262.9712	4565.653	3032.287	2561.9073	2820.1814
LPIN1	1993.002	2871.00046907	1748.482127	1760.0043	1406.00303382	1990.074	1296.00442	1450.003975428	2156.048	1559.001	1168.004	1187.9984
LPIN2	3016.88	4053.82	3893.98	3113.98	2013.53	2806.89	2416.98	2774.98	3027	2043	2292	2472
LPIN3	763.016	1066.475	648.055	644.175	500.239	683.3924	332.8286	376.976	996.837	539.9817	577.289	546.482
LPL	0	0	0	0	0	1	0	1	3	1	2	8
LPO	2.00338	3.01869	1.00043	0	0	0	0	0	0	0	2.00079	0
LPP	17759.9577	27667.6453	23554.8893	18176.1595	8672.8116	9917.9962	8385.5371	7649.1307	11381.3799	6768.7243	7627.52195	8961.1491
LPP-AS1	0	0	0	0	0	0	0	0	0	0	0	0
LPP-AS2	280.041	438.918	385.027	384.372	156.241	212.472	252.957	285.698	349.033	212.023	222.367	266.921
LPXN	6098.0017	7330.9971	5379.0047	7573.9983	3692.0047	5111.9958	6286.9958	7176.0021	9424.9998	5966	5565.0025	6526.0028
LRAT	85.8179	134.341	138.239	124.371	63.7163	118.998	47.0881	75.4688	80.7909	62.5852	68.6372	91.4323
LRBA	3233.003	4608.004	5045.991	4733.9961	2696.9959	3380	4532	4942.0081	4368	2789.001	3789.9972	4409.0019
LRCH1	1210.9967	1555.00179	1528.99507	1456.9992	715.00036	1039.99934	986.9997	1075.99748	1217.0004	835	879	1029.00112
LRCH2	245	293	276	265	176	228	324	294	236	149	113	168
LRCH3	2537.639	3570.1851	3107.642	2749.905	1657.403	2209.205	1449.674125235	1382.445	1918.341907477	1198.71987	1359.049	1453.3887
LRCH4	805.944	1037.55	836.271	864.5361	503.9253	628.8136	538.8950407642	669.36	780.691	500.667	573.65844	635.368
LRCOL1	0	0	0	0	0	0	1	1	1	0	6	2
LRFN1	5.00312	10.0076	5.00401	4.00371	3.00242	1.00063	1.001	1.00094	35.8336	15.741	11.0099	11.0979
LRFN2	2	0	0	0	0	0	0	0	0	0	0	0
LRFN3	813.9999	1091.0004	636	728.99992	530	803	563.99972	661.99992	935	546.9995	507	613.0001
LRFN4	980.0002	1122.9962	804.9999	907.9995	595.0003	840.0005	730.9907	839.0001	1399.9975	915.0005	870.9996	893.0003
LRFN5	26	25	13	61.99998	4.999997	11	5	8	61	35	27.00005	43.999958
LRG1	9.19335	23.9948	18.9668	7.25885	3.97231	10.3306	10.1367	14.1038	21.5591	4.70215	7.79668	5.26265
LRGUK	3	0	10	1	2	0	1	6	4	5	3	6
LRIF1	1048.353	1378.0822	1511.413	1323.323	697.8799	888.756	891.241	1006.96742	1247.1291	844.222	924.58	1003.728
LRIG1	628.53819	849.9999	669.458	789.285	683	800	728	854.5574	1215.995	845.0003	741.9999	893.5827
LRIG2	598.475	995.689	991.183	679.178	441.122	609.829	468.622	432.129	669.588	434.444	461.106	580.74
LRIG3	768	1149	1199	764	111	139	141	140	738	443	657	693
LRIT1	0	0	0	0	0	0	0	0	0	0	0	0
LRIT2	0	0	0	0	0	0	0	0	0	0	0	0
LRIT3	1	6	2	1	1	0	0	0	0	2	0	1.00316
LRMP	0	0	0	0	0	0	0	0	0	0	0	0
LRP1	113247.5207	139208.55462	149481.52313	94615.9661	58683.97164	70445.9824	14399.03342	10970.01427	39384.0019	22917.9677	34420.9947	39523.01098
LRP1-AS	0	2.00582	0	0	3.02159	0	0	0	0	0	0	0
LRP10	24307.73	31713.67	23802.97	23023.06	16376.48	21207.51	15165.88	16903.79	23947.17	13670.35	15284.47	16327.93
LRP11	3965.4769	4771.759	4065.5054	3422.7727	2024.8202	2918.6771	2176.6107	2209.1414	3323.7941	1994.0985	1982.8702	2111.8128
LRP12	3355.995	4670.005	4908.004	4130.998	2607.997	3630.999	3807.996	4292.995	5575.998	3450.001	3822.004	4250.002
LRP1B	2	0	0	0	0	1	0	0	1	6	2	1
LRP2	1	3.00012	14.0004	0	2	4	1	0	3	0	1	0
LRP2BP	60.8488	100.7851	92.72419	71.09392	33.03312	40.11828	45.28756	33.21612	46.08153	25.04262	30.0177	30.04851
LRP3	1515.53	1915.33	548.116	584.665	829.889	1224.77	604.016	787.816	2194.14	1365.12	792.237	934.123
LRP4	1361.65	1678	1276.7	1275.41	1087.91	1449.43	911.484	925.516	857.55	589.795	640.56	621.195
LRP4-AS1	18.96736	11.90561	8.24591	18.62935	14.0859	6.57446	6.51636	3.48389	33.50642	7.94389	13.534	16.93295
LRP5	828	1207	749.914	419	369	367.877	154	143	2927	1747	1644	1876
LRP5L	23.99999	34	22.08621	18.00003	12	11.12302	2.000002	5	7	5	5	6
LRP6	3232.997	4648.001	4270.003	3693.996	1657.997	2151.015	2366.999	2162.998	3711.83	2144.584	2698.005	2970.342
LRP8	609.447	726.784800182932	653.1152	840.3356774008	512.4461	777.6897	522.4109005312	601.6383	1056.9469	654.7139	773.1432	917.96522
LRPAP1	4901.9	6206.07	5377.92	3643.81	3225.78	3680.58	1131.88	1364.02	4584.22	2520.04	2997.51	3151.55
LRPPRC	6262.851	8760.483	7770.9208	7292.4337	4737.057	6119.326	5753.426	6673.006	9291.9038	6367.091	6511.209	7494.9942
LRR1	432	500.9997	356.9999	591	260.0003	351	363.9996	411	702	608	454	536
LRRC1	267.00046	379.82163	347.26622	223.0002	133.7653	106	124.00041	107	259.00043	205.0002	202.0002	207.99954
LRRC10	2.00577	3.0108	3.0071	1.00899	1.00165	1.00091	0	2.00405	0	0	1.01339	1.00224
LRRC10B	0	0	0	0	0	0	0	0	1	5	0	2
LRRC14	668.2856	855.5286	590.4797	669.9997	404.565	624.8073	559	572	1163.357	688.3816	764.3779	714.8859
LRRC14B	0	0	0	0	0	0	1	0	0	0	0	0
LRRC15	33392.043	41307.049	31566.039	37472.953	29363.97	42926.04	34929	39478.05	84748.04	50386.003	53548.962	55478.002
LRRC16A	450.00004	605.99977	798.497	644.9998	581.03577	673.031	541.825	600.00002	664.752	432.00015	602.99965	685.84229
LRRC16B	0	1	1	0	0	0	0	0	0	0	1	2
LRRC17	21	42	18	16	77	180.9995	127	161	22.99995	33	6	22
LRRC18	0	0	0	0	0	0	0	0	0	0	0	0
LRRC19	61.0738	44.0084	55.4297	55.2705	14.6455	46.3963	43.6123	34.4264	69.7313	30.3898	59.4691	34.3918
LRRC2	729.1163	973.8724	813.7779	778.8668	1323.715	1665.572	1716.732	1766.665	685.4726	416.2068	482.906	571.5591
LRRC2-AS1	0	0	0	0	0	2.02092	0	1	0	1.00785	1	0
LRRC20	219.999500479476	293.0000249	245.000000014244	342.9999	67.99998	153.00038	208	189.999912	363.00084	274.0003	272.0007	317.999971903
LRRC23	204.8477	268.19189	234.95671	204.2466	128.8209	156.9617	230.340473543	184.53255	261.9878	163.8772	205.2228	178.26741
LRRC24	5.71467	1.47106	4.52069	0	3.43542	11.19305434	0	0	15.6438	1.61864	3.6224151949	3.113769
LRRC25	4.25351	12.9276	14.5601	12.5248	15.1412	7.60139	4.50421	10.4793	14.7116	5.12511	18.9201	6.01289
LRRC26	0	0	0	0	0	0	0	0	0	0	0	0
LRRC27	360.3959	512.8886	388.08016	307.6646	140.7512	215.154715	164.0894	162.316429	464.2701	234.2319	305.1863	333.618
LRRC28	539.107	801.745	560.988	568.302	349.868	492.285	490.115	692.51228	684.69503	472.353	542.024	473.465
LRRC29	56.00004	71.00002	57	44.99998	42.99995	55.00002	56	34.99996	80.99993	50.00003	39.00001	62
LRRC3	141.577	164.751	83.336	102.613	49.5878	79.2617	53.0738	86.0648	296.651	195.277	198.621	217.63
LRRC3-AS1	0	0	0	0	1	0	0	0	0	0	0	0
LRRC30	0	0	0	0	0	0	0	0	0	0	0	0
LRRC31	0	0	0	0	0	0	0	1	0	1	0	0
LRRC32	948.0004	1793.9999	915.90179	824.9994	3862.9928	4907.9707	5833.948	5354.9762	690.00009	383	427	384.9997
LRRC34	45.00003	96.6955	90.1325	85.35486	71.7378	89.217	78.2585	66.3395	87.03898	49	58	42.4357
LRRC34P1	0	0	0	0	0	0	0	0	0	0	0	0
LRRC34P2	0	0	0	0	0	0	0	0	0	0	0	0
LRRC36	0	1	0	0	0	1	0	0	0	3	0	0
LRRC37A	139.61	153.391	130.209	129.909	97.8628	108.077184125	103.176	95.0553	196.31	90.2966	112.821	144.717
LRRC37A11P	5.27755	2.00976	4.02309	7.04527	1.03354	2.01002	0	1.0145	2.0147	2.00121	0	3.00851
LRRC37A12P	0	0	0	0	0	0	0	0	0	0	0	0
LRRC37A13P	0	0	0	0	0	0	0	0	0	0	0	0
LRRC37A14P	0	0	0	0	0	0	1	0	2	0	0	0
LRRC37A15P	5.02809	7.07903	8	1	6.0827	14.0377	4	2	5	2	1	0
LRRC37A16P	557.111	709.563	563.31	444.997	292.184	457.553	360.576	414.742	395.197	324.595	209.116	230.65
LRRC37A17P	454.9367	625.959	555.2656	479.7094	268.4306	315.5192	284.4438	316.3058	564.8255	316.612	362.457	450.6546
LRRC37A2	188.0205	317.715	237.4376	235.458	130.288205	164.7518	91.126100089239	95.6752	164.157	122.6427	96.7929	94.4792
LRRC37A3	220.43712	372.2118	336.1676	204.27385173561	195.0755	235.76	109.92288	141.08778	140.9942	106.40835	141.41276	198.99981755
LRRC37A4P	504.0845	798.3802	601.4864	588.5712	242.8695	356.0897	268.6294	273.3618	459.92784	287.6745	325.05014	385.6061
LRRC37A5P	3.09668	7.16251	11.0415	2.05262	6.69737	7.02108	7.06205	4.0422	10.0746	9.08275	13.0043	15.1095
LRRC37A6P	8.03822	7.0247	5.02188	4.87644	0	1.0018	0	0	6.00987	5.00811	1.0054	2.44027
LRRC37A7P	5.38549	10.617	4.36371	3	2.67062	2.22046	1.01967	7.08006	4.16133	4.36734	2.19628	0
LRRC37A9P	0	1.22013	4.35879	1.1444	1.16234	4.27809	0	2.12762	4.12559	1.05314	4.11148	8.03641
LRRC37B	200.6763	294.41142	191.898	195.22597	166.34803	200.42629	124.153	118.695	160.736	146.639	120.405	130.975
LRRC37BP1	1324.1287	1727.953	1488.409	1429.802	784.7531	926.471	901.6306	828.65	1342.567	942.9063	903.2762	1016.7403
LRRC38	1	2	0	0	0	0	0	0	0	0	0	1
LRRC39	0	1.00382	20.74218	10.50781	0	3.0195	0	2.13758	1.05866	0	0	0
LRRC3B	0	0	0	0	0	0	0	0	0	0	0	0
LRRC3C	0	1	0	0	2	0	0	0	0	0	0	0
LRRC4	213	277	196	230	146	241	196	167	544	454	364	398
LRRC40	1257	1630	1639	1412	751	934	1361	1293	1353	1077	968	1341
LRRC41	5438.769	7298.874	3820.006	3851.785	3859.252	4942.379	4384.55	4965.505	8802.324	5433.159	4514.235	4636.5
LRRC42	1843.999	2558.002	2164.999	1956	1234.003	1650.996	1843.001	2023.004	2717.001	1581.998	1788.998	2010.005
LRRC43	11	18	8	7	23	20	7	10	20	27	10	8
LRRC45	276	344	168	289	149	239	185	248	351	226	190	220
LRRC46	9	24	18	17	4	13	10	9	31	17	20	10
LRRC47	2078.33	2808.31	2063.62	1918.79	1636.21	2184.08	1893.38	2196.51	2907.38	2060.68	1680.68	1814.23
LRRC49	313.0213	406.2796	421.2489	488.4273	191.1759	264.7263	317.5600124918	336.37939	407.3175	280.07046	358.5557	365.26980423556
LRRC4B	0	1	2	0	0	1	1	0	1	2	3	6
LRRC4C	0	0	0	1	0	1	0	0	0	0	0	0
LRRC52	0	0	0	0	0	0	0	0	0	0	0	0
LRRC53	0	0	0	0	0	0	0	0	0	0	0	0
LRRC55	0	0	0	0	0	4	0	0	0	0	0	0
LRRC56	16.5605	6.1426	18.2463	14.0634	6.03576	5.03811	3.02013	16.3224	26.6077	5.02315	16.0181	16.0938
LRRC57	1278.777	1772.121	1850.267	1554.839	898.004	1144.3959	980.562	1096.807	1112.6	740.709	725.915000056435	883.458
LRRC58	3705.03	5358.7	5073.97	4640.57	3186.13	3956.6	4580.05	4486.83	4460.79	3442.81	2772.15	3358.4
LRRC59	21164.51489	25324.42801	20454.89774	23217.78462	13715.45171	19338.77193	20532.78596	22864.33459	28926.45628	19446.50077	18617.95285	19835.21105
LRRC6	25	28	70	51.999993	8	22	38	31	98.000072	42.00004	78.00000357582	65.99995158484
LRRC61	0	2	2	0	0	0	0	0	17	7	9	8
LRRC63	0	2	1	4	0	0	0	0	0	0	1	4
LRRC66	38	45	26	32	25	20	10	15	21	19	19	23
LRRC69	4	6	4	0	3	7	0	7	1	3	1	5
LRRC6P1	0	0	0	0	0	0	0	0	0	0	0	0
LRRC7	0	0	3	0	0	0	0	0	0	0	0	0
LRRC70	1	12	4	5	6	1	7	4	1	3	6	6
LRRC71	2	3	1	0	0	0	1	0	4	2	2	1
LRRC72	0	0	0	0	0	0	0	0	0	0	0	0
LRRC73	21	38	16	19	18	25	18	8	63	29	36	31
LRRC74A	0	0	0	0	0	2	0	0	0	0	0	0
LRRC74B	0	2.29079	0	0	0	0	0	0	0	0	1	0
LRRC75A	11	17	14	10	1	4	14	3	24.00001	5	12	2.999996
LRRC75A-AS1	18221.99496	23440.0002	23300.0478	20309.8679	8755.0044	11303.999	16920.00416	18133.0156	32208.0254	19052.01101	25367.0312	24988.026
LRRC75B	54	63	51	28	55	48	36	33	97	59	44	34
LRRC8A	4352.998	6022.995	4201.0062	4235.9997	4485	6288	4229	4998.9947	4516.9998	3266	3007.0001	3153.9982
LRRC8B	41.0922800313703	58.2802400150453	58.2857000386521	113.41862	35.1976000121321	42.3793000169416	77.5070400647349	74.0822700269115	102.066540038179	120.10666	121.18288	133.957200030827
LRRC8C	980.785	1072.96	1107.81	1680.61	607.197	949.702	945.447	1261.99	1286.5	990.936	849.549	1096.45
LRRC8D	2023.786	2414.6487	2486.2787	2291.8888	1889.773	2449.266	2932.779	3226.42	2795.053	1858.9212	1963.349	2245.8132
LRRC8E	308.7214	344.195	160.1926	181.6003	246.2223	328.98	229.7177	221.0837	475.065	328.9957	224.858	225.486
LRRC9	0	0	0	0	0	0	0	0	0	0	0	0
LRRCC1	155.00024	187	337	341	69	100	118	137	106	118	166	224
LRRD1	7.56688	12.96488	14.5659	1.76846	5.39009	17.022	4.12334	2.40635	2.53441	5.05914	8.55167	0.761747
LRRFIP1	12419.231	16076.813	16319.285	13371.054	9736.229	13224.378	8981.908	9964.79251	13069.126	8479.723	8444.073	9599.131
LRRFIP1P1	63.9326	86.9223	94.4713	81.2064	2.09508	7.37842	1.03931	0	2.45768	6.26289	0	10.2262
LRRFIP2	5678.996	8069.999	7655.996	6309.0045	5146	6909	5651.998	6288.001	7143.0023	4550.995	4694.0001	5197.9956
LRRIQ1	4	9	19	5	5	0	5	1	7	14	11	13
LRRIQ3	11	14	27	15	18	18	38	34.00003	19	35	24.99998	49.99998
LRRIQ4	2	0	0	0	1	2	0	1	14	0	1	4
